"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 11월","SK에너지","셀프","2342.00","2027.00","1856.00","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 12월","SK에너지","셀프","2338.00","2030.67","1848.00","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 07월","S-OIL","셀프","0.00","1584.74","1448.61","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 08월","S-OIL","셀프","0.00","1597.00","1464.10","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 09월","S-OIL","셀프","0.00","1637.67","1474.33","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 10월","S-OIL","셀프","0.00","1644.74","1474.42","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 11월","S-OIL","셀프","0.00","1641.60","1472.33","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2019년 12월","S-OIL","셀프","0.00","1657.00","1487.00","1258.06"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2019년 07월","SK에너지","셀프","0.00","1557.00","1435.00","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2019년 08월","SK에너지","셀프","0.00","1557.00","1435.00","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2019년 09월","SK에너지","셀프","0.00","1609.60","1459.47","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2019년 10월","SK에너지","셀프","0.00","1615.61","1459.32","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2019년 11월","SK에너지","셀프","0.00","1598.00","1443.00","0.00"
